##TITLE= Pfeffer-Wyman Instruments
##JCAMP_DX= 4.24
##DATA TYPE= INFRARED SPECTRUM
##YUNITS= % Transmittance
##XUNITS= 1/CM
##FIRSTX= 400.00000
##LASTX= 4000.000
##XFACTOR= 1.00000000
##DELTAX= 4.0000000
##NPOINTS= 901
##XYDATA= (X++(Y..Y))
2584.00 97.801 97.714 97.627 97.540 97.450 97.357
2608.00 97.274 97.214 97.169 97.119 97.060 97.002
2632.00 96.942 96.871 96.789 96.702 96.609 96.501
2656.00 96.372 96.222 96.064 95.912 95.782 95.684
2680.00 95.632 95.646 95.728 95.857 95.995 96.102
2704.00 96.157 96.149 96.093 96.012 95.904 95.753
2728.00 95.589 95.472 95.420 95.404 95.390 95.368
2752.00 95.329 95.262 95.162 95.034 94.880 94.684
2776.00 94.429 94.111 93.738 93.313 92.831 92.270
2800.00 91.596 90.797 89.850 88.732 87.426 85.871
2824.00 83.922 81.348 77.753 72.297 64.094 53.311
2848.00 42.151 34.585 33.724 38.686 45.413 50.852
2872.00 54.524 56.939 57.995 57.079 54.166 50.099
2896.00 45.706 41.291 36.457 31.220 25.177 18.204
2920.00 11.684 7.897 9.865 15.741 22.791 30.230
2944.00 36.951 41.881 44.880 47.197 50.379 54.853
2968.00 59.622 63.435 66.018 68.119 70.617 73.686
2992.00 76.976 80.156 83.100 85.667 87.745 89.347
3016.00 90.594 91.558 92.269 92.821 93.290 93.699
3040.00 94.045 94.328 94.565 94.777 94.972 95.143
3064.00 95.293 95.436 95.564 95.664 95.745 95.828
3088.00 95.908 95.961 95.988 96.017 96.061 96.095
3112.00 96.096 96.088 96.111 96.157 96.174 96.152
3136.00 96.141 96.161 96.170 96.146 96.125 96.142
3160.00 96.166 96.154 96.121 96.100 96.087 96.058
3184.00 96.023 96.006 96.003 95.991 95.970 95.964
3208.00 95.976 95.978 95.965 95.950 95.937 95.917
3232.00 95.888 95.865 95.859 95.857 95.843 95.816
3256.00 95.794 95.784 95.770 95.742 95.718 95.722
3280.00 95.739 95.732 95.695 95.657 95.633 95.602
3304.00 95.543 95.481 95.450 95.440 95.413 95.369
3328.00 95.326 95.290 95.249 95.207 95.171 95.147
3352.00 95.117 95.050 94.951 94.875 94.861 94.866
3376.00 94.834 94.776 94.719 94.649 94.553 94.469
3400.00 94.433 94.421 94.390 94.332 94.276 94.231
3424.00 94.177 94.093 93.990 93.867 93.677 93.421
3448.00 93.190 93.040 92.936 92.874 92.922 93.080
3472.00 93.253 93.369 93.446 93.518 93.599 93.670
3496.00 93.696 93.672 93.662 93.738 93.865 93.916
3520.00 93.839 93.753 93.796 93.930 93.999 93.932
3544.00 93.824 93.824 93.945 94.002 93.818 93.508
3568.00 93.440 93.677 93.867 93.763 93.449 93.192
3592.00 93.145 93.218 93.247 93.139 92.911 92.706
3616.00 92.686 92.780 92.775 92.712 92.870 93.169
3640.00 93.173 92.709 92.208 92.293 92.826 93.244
3664.00 93.226 92.725 92.194 92.313 92.753 92.832
3688.00 92.589 92.558 92.847 93.000 92.811 92.537
3712.00 92.463 92.520 92.506 92.341 92.032 91.691
3736.00 91.534 91.538 91.449 91.314 91.502 91.943
3760.00 92.242 92.294 92.325 92.443 92.485 92.394
3784.00 92.375 92.461 92.386 91.982 91.566 91.657
3808.00 91.989 92.086 91.805 91.566 91.636 91.647
3832.00 91.332 90.952 90.974 91.244 91.229 90.972
3856.00 90.959 91.136 91.105 90.945 91.028 91.247
3880.00 91.268 91.182 91.295 91.443 91.310 91.048
3904.00 91.119 91.477 91.642 91.495 91.302 91.255
3928.00 91.290 91.345 91.416 91.438 91.398 91.408
3952.00 91.505 91.588 91.602 91.591 91.577 91.552
3976.00 91.542 91.570 91.602 91.612 91.604 91.594
4000.00 91.566 
